instance_id,error_code,severity_level,severity_name,subsystem_code,subsystem_name,mid,fault_category,machine,operation_code,run_id,title,primary_param,primary_param_name,primary_param_unit,primary_value,normal_min,normal_max,critical_min,critical_max,all_pvalues_json,recommended_action,related_codes,real_x_rms,real_y_rms,real_z_rms,real_crest,real_kurtosis,source,complaint_case_id
15,SPN-MJ-001,2,MAJOR,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP04,M01_Feb_2019_OP04_000,Spindle Motor Overtemperature,P003,Spindle Motor Temperature,°C,86.234,20.0,75.0,0.0,95.0,"{""P003"": 86.234, ""P001"": 6001.409, ""P002"": 36.417, ""P004"": 2.626, ""P005"": 43.44}",Stop current operation. Machine must be inspected before resuming production.,SPN-CR-002|THM-WN-070|SPN-MN-006,441.155,220.752,1065.678,5.114,7.169,bosch_real_fault,CMP-2019-1005
16,VIB-MN-001,5,MINOR,VIB,Vibration Monitoring,144,tool_wear,M01,OP04,M01_Feb_2019_OP04_000,Kurtosis Index — Rising Trend,P064,Kurtosis Index,-,4.623,2.5,5.0,0.0,25.0,"{""P064"": 4.623, ""P001"": 1192.821, ""P002"": 41.949}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,VIB-MD-001|SPN-SR-003,441.155,220.752,1065.678,5.114,7.169,bosch_real_fault,CMP-2019-1005
17,SPN-MJ-001,2,MAJOR,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP05,M01_Aug_2019_OP05_000,Spindle Motor Overtemperature,P003,Spindle Motor Temperature,°C,83.917,20.0,75.0,0.0,95.0,"{""P003"": 83.917, ""P001"": 1363.858, ""P002"": 57.841, ""P004"": 2.684, ""P005"": 46.172}",Stop current operation. Machine must be inspected before resuming production.,SPN-CR-002|THM-WN-070|SPN-MN-006,303.004,143.241,1047.25,7.65,15.542,bosch_real_fault,CMP-2019-1006
18,VIB-MN-001,5,MINOR,VIB,Vibration Monitoring,144,tool_wear,M01,OP05,M01_Feb_2019_OP05_000,Kurtosis Index — Rising Trend,P064,Kurtosis Index,-,4.6,2.5,5.0,0.0,25.0,"{""P064"": 4.6, ""P001"": 6900.16, ""P002"": 0.976}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,VIB-MD-001|SPN-SR-003,339.278,131.414,1049.003,6.679,11.701,bosch_real_fault,CMP-2019-1007
19,SPN-SR-003,3,SERIOUS,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP05,M01_Feb_2019_OP05_000,Bearing Kurtosis Threshold — Defect Initiation Detected,P004,Spindle Bearing Vibration,mm/s,4.474,0.0,4.5,0.0,11.2,"{""P004"": 4.474, ""P064"": 4.204, ""P001"": 4342.066, ""P002"": 22.68}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-002|SPN-CR-001|VIB-WN-060,339.278,131.414,1049.003,6.679,11.701,bosch_real_fault,CMP-2019-1007
20,SPN-MJ-002,2,MAJOR,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP05,M01_Feb_2019_OP05_000,Spindle Bearing Vibration — Major Threshold Exceeded,P004,Spindle Bearing Vibration,mm/s,8.468,0.0,4.5,0.0,11.2,"{""P004"": 8.468, ""P063"": 1.39, ""P064"": 3.587, ""P001"": 3684.417, ""P002"": 81.074}",Stop current operation. Machine must be inspected before resuming production.,SPN-CR-001|VIB-MN-061|SPN-SR-003,339.278,131.414,1049.003,6.679,11.701,bosch_real_fault,CMP-2019-1007
21,SPN-SR-003,3,SERIOUS,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP05,M01_Feb_2019_OP05_001,Bearing Kurtosis Threshold — Defect Initiation Detected,P004,Spindle Bearing Vibration,mm/s,4.282,0.0,4.5,0.0,11.2,"{""P004"": 4.282, ""P064"": 2.766, ""P001"": 5039.872, ""P002"": 71.542}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-002|SPN-CR-001|VIB-WN-060,339.259,124.142,1049.787,6.449,11.65,bosch_real_fault,CMP-2019-1008
22,VIB-MN-001,5,MINOR,VIB,Vibration Monitoring,144,tool_wear,M01,OP05,M01_Feb_2019_OP05_001,Kurtosis Index — Rising Trend,P064,Kurtosis Index,-,4.194,2.5,5.0,0.0,25.0,"{""P064"": 4.194, ""P001"": 1671.398, ""P002"": 31.783}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,VIB-MD-001|SPN-SR-003,339.259,124.142,1049.787,6.449,11.65,bosch_real_fault,CMP-2019-1008
23,SPN-MJ-001,2,MAJOR,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP05,M01_Feb_2019_OP05_001,Spindle Motor Overtemperature,P003,Spindle Motor Temperature,°C,83.969,20.0,75.0,0.0,95.0,"{""P003"": 83.969, ""P001"": 7632.648, ""P002"": 78.407, ""P004"": 4.133, ""P005"": 71.873}",Stop current operation. Machine must be inspected before resuming production.,SPN-CR-002|THM-WN-070|SPN-MN-006,339.259,124.142,1049.787,6.449,11.65,bosch_real_fault,CMP-2019-1008
24,SPN-CR-001,1,CRITICAL,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP05,M01_Feb_2021_OP05_000,Spindle Bearing Catastrophic Failure,P001,Spindle Speed,RPM,8484.0,100.0,8000.0,0.0,8500.0,"{""P001"": 8484, ""P003"": 68.33, ""P004"": 3.742, ""P005"": 36.902, ""P002"": 4.924, ""P006"": 0.038}",Immediate machine stop. Do not restart without authorised technician inspection.,SPN-MJ-002|VIB-WN-060|VIB-MN-061,331.983,177.7,1026.623,6.425,11.73,bosch_real_fault,CMP-2021-1009
25,VIB-MN-001,5,MINOR,VIB,Vibration Monitoring,144,tool_wear,M01,OP05,M01_Feb_2021_OP05_000,Kurtosis Index — Rising Trend,P064,Kurtosis Index,-,4.579,2.5,5.0,0.0,25.0,"{""P064"": 4.579, ""P001"": 776.662, ""P002"": 41.309}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,VIB-MD-001|SPN-SR-003,331.983,177.7,1026.623,6.425,11.73,bosch_real_fault,CMP-2021-1009
26,AXS-MN-002,5,MINOR,AXS,Axis Servo System,130,chatter_vibration,M01,OP06,M01_Aug_2019_OP06_000,Axis Vibration — Minor Threshold,P060,X-Axis Vibration RMS,mm/s,3.456,0.0,4.5,0.0,11.2,"{""P060"": 3.456, ""P061"": 0.578, ""P062"": 2.139, ""P001"": 4443.448, ""P002"": 22.53}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,SPN-MJ-004|AXS-SR-001,338.406,238.261,1057.132,6.702,10.574,bosch_real_fault,CMP-2019-1010
27,VIB-MJ-001,2,MAJOR,VIB,Vibration Monitoring,144,spindle_bearing_fault,M01,OP06,M01_Aug_2021_OP06_000,Vibration — ISO Zone C — Major Alert,P060,X-Axis Vibration RMS,mm/s,8.698,0.0,4.5,0.0,11.2,"{""P060"": 8.698, ""P061"": 3.104, ""P062"": 3.208, ""P063"": 2.396, ""P001"": 5406.327, ""P002"": 31.741}",Stop current operation. Machine must be inspected before resuming production.,VIB-CR-001|SPN-MJ-002|VIB-SR-001,377.291,540.293,1096.982,5.675,7.877,bosch_real_fault,CMP-2021-1011
28,AXS-SR-001,3,SERIOUS,AXS,Axis Servo System,130,chatter_vibration,M01,OP06,M01_Aug_2021_OP06_000,Axis Vibration — Resonance Detected,P060,X-Axis Vibration RMS,mm/s,4.635,0.0,4.5,0.0,11.2,"{""P060"": 4.635, ""P061"": 2.032, ""P062"": 1.116, ""P016"": 0.003, ""P001"": 266.171, ""P002"": 47.083}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-004|AXS-MJ-001|VIB-WN-060,377.291,540.293,1096.982,5.675,7.877,bosch_real_fault,CMP-2021-1011
29,VIB-SR-001,3,SERIOUS,VIB,Vibration Monitoring,144,chatter_vibration,M01,OP06,M01_Aug_2021_OP06_000,Vibration — ISO Zone B Upper — Elevated,P060,X-Axis Vibration RMS,mm/s,4.355,0.0,4.5,0.0,11.2,"{""P060"": 4.355, ""P061"": 0.032, ""P062"": 3.185, ""P001"": 565.103, ""P002"": 5.729}",Complete current cycle then stop. Schedule maintenance within 4 hours.,VIB-MJ-001|SPN-SR-003|AXS-SR-001,377.291,540.293,1096.982,5.675,7.877,bosch_real_fault,CMP-2021-1011
30,VIB-SR-001,3,SERIOUS,VIB,Vibration Monitoring,144,chatter_vibration,M01,OP06,M01_Aug_2021_OP06_001,Vibration — ISO Zone B Upper — Elevated,P060,X-Axis Vibration RMS,mm/s,3.889,0.0,4.5,0.0,11.2,"{""P060"": 3.889, ""P061"": 1.071, ""P062"": 3.01, ""P001"": 1792.471, ""P002"": 11.247}",Complete current cycle then stop. Schedule maintenance within 4 hours.,VIB-MJ-001|SPN-SR-003|AXS-SR-001,342.826,268.598,1046.794,5.994,9.649,bosch_real_fault,CMP-2021-1012
31,AXS-MN-002,5,MINOR,AXS,Axis Servo System,130,chatter_vibration,M01,OP06,M01_Aug_2021_OP06_002,Axis Vibration — Minor Threshold,P060,X-Axis Vibration RMS,mm/s,3.486,0.0,4.5,0.0,11.2,"{""P060"": 3.486, ""P061"": 3.634, ""P062"": 0.857, ""P001"": 865.753, ""P002"": 36.639}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,SPN-MJ-004|AXS-SR-001,372.674,531.438,1096.044,5.565,8.04,bosch_real_fault,CMP-2021-1013
32,VIB-MJ-001,2,MAJOR,VIB,Vibration Monitoring,144,spindle_bearing_fault,M01,OP06,M01_Aug_2021_OP06_002,Vibration — ISO Zone C — Major Alert,P060,X-Axis Vibration RMS,mm/s,8.031,0.0,4.5,0.0,11.2,"{""P060"": 8.031, ""P061"": 2.102, ""P062"": 3.281, ""P063"": 3.357, ""P001"": 7874.905, ""P002"": 8.366}",Stop current operation. Machine must be inspected before resuming production.,VIB-CR-001|SPN-MJ-002|VIB-SR-001,372.674,531.438,1096.044,5.565,8.04,bosch_real_fault,CMP-2021-1013
33,SPN-MJ-004,2,MAJOR,SPN,Spindle Drive System,128,chatter_vibration,M01,OP06,M01_Aug_2021_OP06_002,Regenerative Chatter — Stability Limit Exceeded,P060,X-Axis Vibration RMS,mm/s,7.989,0.0,4.5,0.0,11.2,"{""P060"": 7.989, ""P061"": 1.527, ""P062"": 3.878, ""P063"": 1.87, ""P001"": 1602.65, ""P002"": 38.132}",Stop current operation. Machine must be inspected before resuming production.,VIB-WN-060|SPN-MJ-002|AXS-MN-002,372.674,531.438,1096.044,5.565,8.04,bosch_real_fault,CMP-2021-1013
34,SPN-WN-001,6,WARNING,SPN,Spindle Drive System,128,tool_wear,M01,OP07,M01_Aug_2019_OP07_000,Spindle Load — Tool Life 80% Consumed,P002,Spindle Load,%,56.3,0.0,85.0,0.0,105.0,"{""P002"": 56.3, ""P001"": 7008.439, ""P003"": 24.146}",Log event. No immediate action required. Review at end of shift.,SPN-MN-001|TCS-MD-001,445.281,215.439,1048.78,5.747,7.693,bosch_real_fault,CMP-2019-1014
35,VIB-MD-001,4,MODERATE,VIB,Vibration Monitoring,144,tool_wear,M01,OP07,M01_Aug_2019_OP07_000,Crest Factor — Elevated Above Baseline,P063,Vibration Crest Factor,-,4.298,1.0,4.5,0.0,12.0,"{""P063"": 4.298, ""P064"": 4.64, ""P001"": 873.479, ""P002"": 55.432}",Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,SPN-SR-003|VIB-SR-001,445.281,215.439,1048.78,5.747,7.693,bosch_real_fault,CMP-2019-1014
36,SPN-MJ-003,2,MAJOR,SPN,Spindle Drive System,128,tool_wear,M01,OP07,M01_Aug_2021_OP07_000,Spindle Load Anomaly — Possible Tool Breakage,P002,Spindle Load,%,94.0,0.0,85.0,0.0,105.0,"{""P002"": 94.0, ""P005"": 58.277, ""P001"": 1788.604, ""P003"": 42.057, ""P004"": 0.264}",Stop current operation. Machine must be inspected before resuming production.,CLS-SR-001|SPN-WN-004|TCS-MD-001,579.264,345.02,1078.789,4.701,4.61,bosch_real_fault,CMP-2021-1015
37,VIB-MD-001,4,MODERATE,VIB,Vibration Monitoring,144,tool_wear,M01,OP07,M01_Aug_2021_OP07_000,Crest Factor — Elevated Above Baseline,P063,Vibration Crest Factor,-,3.848,1.0,4.5,0.0,12.0,"{""P063"": 3.848, ""P064"": 4.963, ""P001"": 2195.104, ""P002"": 66.646}",Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,SPN-SR-003|VIB-SR-001,579.264,345.02,1078.789,4.701,4.61,bosch_real_fault,CMP-2021-1015
38,SPN-SR-001,3,SERIOUS,SPN,Spindle Drive System,128,tool_wear,M01,OP07,M01_Aug_2021_OP07_000,Spindle Load Gradually Increasing — Tool Wear Trend,P002,Spindle Load,%,80.0,0.0,85.0,0.0,105.0,"{""P002"": 80.0, ""P005"": 50.761, ""P001"": 7662.809, ""P003"": 74.748, ""P004"": 2.501}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-003|SPN-WN-004|TCS-MD-001,579.264,345.02,1078.789,4.701,4.61,bosch_real_fault,CMP-2021-1015
39,VIB-MD-001,4,MODERATE,VIB,Vibration Monitoring,144,tool_wear,M01,OP07,M01_Aug_2021_OP07_001,Crest Factor — Elevated Above Baseline,P063,Vibration Crest Factor,-,3.762,1.0,4.5,0.0,12.0,"{""P063"": 3.762, ""P064"": 4.922, ""P001"": 4675.524, ""P002"": 46.087}",Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,SPN-SR-003|VIB-SR-001,581.128,394.569,1113.263,5.248,4.705,bosch_real_fault,CMP-2021-1016
40,SPN-SR-001,3,SERIOUS,SPN,Spindle Drive System,128,tool_wear,M01,OP07,M01_Aug_2021_OP07_001,Spindle Load Gradually Increasing — Tool Wear Trend,P002,Spindle Load,%,85.0,0.0,85.0,0.0,105.0,"{""P002"": 85.0, ""P005"": 6.86, ""P001"": 4715.003, ""P003"": 47.657, ""P004"": 3.837}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-003|SPN-WN-004|TCS-MD-001,581.128,394.569,1113.263,5.248,4.705,bosch_real_fault,CMP-2021-1016
41,SPN-MD-001,4,MODERATE,SPN,Spindle Drive System,128,tool_wear,M01,OP07,M01_Aug_2021_OP07_001,Spindle Load — Elevated Baseline,P002,Spindle Load,%,63.5,0.0,85.0,0.0,105.0,"{""P002"": 63.5, ""P005"": 115.293, ""P001"": 732.881, ""P003"": 30.22}",Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,SPN-SR-001|SPN-WN-004,581.128,394.569,1113.263,5.248,4.705,bosch_real_fault,CMP-2021-1016
42,SPN-SR-001,3,SERIOUS,SPN,Spindle Drive System,128,tool_wear,M01,OP07,M01_Feb_2019_OP07_000,Spindle Load Gradually Increasing — Tool Wear Trend,P002,Spindle Load,%,79.1,0.0,85.0,0.0,105.0,"{""P002"": 79.1, ""P005"": 112.992, ""P001"": 4600.436, ""P003"": 51.841, ""P004"": 0.179}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-003|SPN-WN-004|TCS-MD-001,471.192,246.606,1060.618,4.739,6.456,bosch_real_fault,CMP-2019-1017
43,SPN-MN-001,5,MINOR,SPN,Spindle Drive System,128,tool_wear,M01,OP07,M01_Feb_2019_OP07_000,Spindle Load — Upper Advisory Threshold,P002,Spindle Load,%,44.9,0.0,85.0,0.0,105.0,"{""P002"": 44.9, ""P001"": 5293.248, ""P003"": 51.087}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,SPN-MD-001|SPN-SR-001,471.192,246.606,1060.618,4.739,6.456,bosch_real_fault,CMP-2019-1017
44,VIB-MD-001,4,MODERATE,VIB,Vibration Monitoring,144,tool_wear,M01,OP07,M01_Feb_2019_OP07_000,Crest Factor — Elevated Above Baseline,P063,Vibration Crest Factor,-,3.782,1.0,4.5,0.0,12.0,"{""P063"": 3.782, ""P064"": 3.152, ""P001"": 5390.835, ""P002"": 26.706}",Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,SPN-SR-003|VIB-SR-001,471.192,246.606,1060.618,4.739,6.456,bosch_real_fault,CMP-2019-1017
45,SPN-MD-001,4,MODERATE,SPN,Spindle Drive System,128,tool_wear,M01,OP08,M01_Feb_2019_OP08_000,Spindle Load — Elevated Baseline,P002,Spindle Load,%,76.6,0.0,85.0,0.0,105.0,"{""P002"": 76.6, ""P005"": 36.0, ""P001"": 2597.8, ""P003"": 61.353}",Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,SPN-SR-001|SPN-WN-004,327.582,173.583,1050.29,5.928,11.862,bosch_real_fault,CMP-2019-1018
46,SPN-SR-001,3,SERIOUS,SPN,Spindle Drive System,128,tool_wear,M01,OP08,M01_Feb_2019_OP08_000,Spindle Load Gradually Increasing — Tool Wear Trend,P002,Spindle Load,%,73.5,0.0,85.0,0.0,105.0,"{""P002"": 73.5, ""P005"": 54.994, ""P001"": 7987.79, ""P003"": 74.785, ""P004"": 0.33}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-003|SPN-WN-004|TCS-MD-001,327.582,173.583,1050.29,5.928,11.862,bosch_real_fault,CMP-2019-1018
47,SPN-WN-004,6,WARNING,SPN,Spindle Drive System,128,tool_wear,M01,OP08,M01_Feb_2019_OP08_001,Spindle Load Variance — Increased Part-to-Part Variation,P002,Spindle Load,%,46.4,0.0,85.0,0.0,105.0,"{""P002"": 46.4, ""P001"": 2857.17, ""P003"": 23.784}",Log event. No immediate action required. Review at end of shift.,SPN-MN-001|CLS-WN-001,327.998,167.526,1050.14,5.985,11.837,bosch_real_fault,CMP-2019-1019
48,SPN-MN-001,5,MINOR,SPN,Spindle Drive System,128,tool_wear,M01,OP08,M01_Feb_2019_OP08_002,Spindle Load — Upper Advisory Threshold,P002,Spindle Load,%,51.0,0.0,85.0,0.0,105.0,"{""P002"": 51.0, ""P001"": 3561.658, ""P003"": 49.877}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,SPN-MD-001|SPN-SR-001,326.437,169.445,1049.896,6.396,11.892,bosch_real_fault,CMP-2019-1020
49,AXS-MN-002,5,MINOR,AXS,Axis Servo System,130,chatter_vibration,M01,OP09,M01_Aug_2019_OP09_000,Axis Vibration — Minor Threshold,P060,X-Axis Vibration RMS,mm/s,3.302,0.0,4.5,0.0,11.2,"{""P060"": 3.302, ""P061"": 2.496, ""P062"": 4.193, ""P001"": 918.333, ""P002"": 74.641}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,SPN-MJ-004|AXS-SR-001,401.801,136.598,1048.149,5.747,9.98,bosch_real_fault,CMP-2019-1021
50,SPN-MJ-004,2,MAJOR,SPN,Spindle Drive System,128,chatter_vibration,M01,OP09,M01_Aug_2019_OP09_000,Regenerative Chatter — Stability Limit Exceeded,P060,X-Axis Vibration RMS,mm/s,7.712,0.0,4.5,0.0,11.2,"{""P060"": 7.712, ""P061"": 4.004, ""P062"": 3.341, ""P063"": 1.544, ""P001"": 2325.875, ""P002"": 17.904}",Stop current operation. Machine must be inspected before resuming production.,VIB-WN-060|SPN-MJ-002|AXS-MN-002,401.801,136.598,1048.149,5.747,9.98,bosch_real_fault,CMP-2019-1021
51,SPN-MJ-005,2,MAJOR,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP10,M01_Aug_2021_OP10_000,Spindle Drive Thermal Overcurrent,P002,Spindle Load,%,96.8,0.0,85.0,0.0,105.0,"{""P002"": 96.8, ""P003"": 34.519, ""P005"": 58.624, ""P001"": 7252.158, ""P004"": 3.807}",Stop current operation. Machine must be inspected before resuming production.,SPN-CR-002|THM-MD-001|SPN-MJ-001,442.489,297.652,1070.039,5.144,8.164,bosch_real_fault,CMP-2021-1022
