error_code,severity_level,severity_name,severity_color,required_action,max_downtime_min,subsystem_code,subsystem_name,mid,fault_category,title,description,probable_cause,diagnostic_steps,remedy,parameters,related_codes,num_params
SPN-SR-003,3,SERIOUS,YELLOW,Complete current cycle then stop. Schedule maintenance within 4 hours.,120,SPN,Spindle Drive System,128,spindle_bearing_fault,Bearing Kurtosis Threshold — Defect Initiation Detected,Kurtosis index P064 = {val} has exceeded early-defect threshold (8.0). Statistical analysis of vibration signal indicates impulse-type events consistent with bearing defect initiation.,Early-stage bearing race or rolling element defect. Expected remaining useful life: 200–500 operating hours depending on load.,Enable continuous vibration trending for this spindle | Reduce spindle speed by 20% as precaution | Schedule borescope inspection at next planned downtime | Compare P064 trend rate of change to historical baseline,Plan bearing replacement within 200 operating hours. Continue monitoring P064 daily. Reduce maximum spindle speed to 70% until replacement.,P004 | Spindle Bearing Vibration [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P064 | Kurtosis Index [-] | normal: 2.5–5.0 | critical: 0–25.0,SPN-MJ-002 | SPN-CR-001 | VIB-WN-060,2
SPN-MD-001,4,MODERATE,AMBER,Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,60,SPN,Spindle Drive System,128,tool_wear,Spindle Load — Elevated Baseline,Spindle load P002 baseline on operation {val} is {val2}% above historical mean for same program. No acute spike. Gradual trend suggests accumulating mechanical resistance.,"Tool wear progression, slight bearing preload increase, or minor misalignment.","Compare current cycle time to nominal | Inspect tool visually for chip edge | Run dry cycle (spindle only, no feed) and check no-load current | Trend over next 20 cycles",Schedule tool inspection at next shift change. Log in maintenance history.,P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105 || P005 | Spindle Torque [Nm] | normal: 0–120 | critical: 0–145,SPN-SR-001 | SPN-WN-004,2
SPN-MD-002,4,MODERATE,AMBER,Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,60,SPN,Spindle Drive System,128,process_anomaly,Feed Override Active — Non-Standard Cutting Condition,Feed override P083 set to {val}% (nominal 100%) during production program. Spindle speed P001 = {val2} RPM. Non-standard override active for >10 parts.,"Operator compensation for tool wear, material hardness variation, or unresolved vibration issue.",Interview operator for reason override was applied | Check if override masks a recurring alarm | Verify correct tool is loaded in spindle | Review last SPC data for dimension drift,"Restore nominal feed rate. If override required for quality, initiate cutting parameter review with process engineer.",P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500 || P083 | Feed Override [%] | normal: 0–120 | critical: 0–150,SPN-SR-001 | SPN-MJ-003,2
SPN-MN-001,5,MINOR,BLUE,Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,30,SPN,Spindle Drive System,128,tool_wear,Spindle Load — Upper Advisory Threshold,Spindle load P002 = {val}% is above upper advisory band (70%) but below major threshold. Sustained for {val2} minutes.,Normal heavy-cut condition or early tool wear. Monitor for progression.,Verify programmed depth of cut is nominal | Check tool life counter remaining | Monitor for next 10 cycles,No immediate action. Log and monitor trend.,P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105,SPN-MD-001 | SPN-SR-001,1
SPN-MN-002,5,MINOR,BLUE,Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,30,SPN,Spindle Drive System,128,spindle_bearing_fault,Spindle Motor Temperature — Elevated,Spindle motor temperature P003 = {val} °C. Within normal range but {val2} °C above 30-day average for same duty cycle.,Slight cooling degradation or increased duty cycle.,Check air filter cleanliness | Verify coolant flow to motor if liquid-cooled | Compare ambient P070 to historical,Clean filters at next shift break. Monitor trend.,P003 | Spindle Motor Temperature [°C] | normal: 20–75 | critical: 0–95,SPN-MJ-001 | THM-WN-070,1
SPN-MN-003,5,MINOR,BLUE,Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,30,SPN,Spindle Drive System,128,tool_wear,Spindle Torque — Elevated During Entry Move,Spindle torque P005 = {val} Nm during tool entry move. Exceeds expected entry torque model by {val2}%. Possible chip re-cutting or worn tool entry geometry.,Insufficient chip evacuation at tool entry or worn tool corner radius.,Check chip evacuation — increase coolant pressure P032 | Inspect tool corner condition | Review approach strategy in NC program,Adjust tool entry strategy (ramp instead of plunge). Inspect tool.,P005 | Spindle Torque [Nm] | normal: 0–120 | critical: 0–145 || P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105,SPN-MJ-003 | CLS-MN-001,2
SPN-MN-004,5,MINOR,BLUE,Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,30,SPN,Spindle Drive System,128,spindle_bearing_fault,Vibration RMS — Gradual Increase Detected,Vibration RMS P004 shows {val}% increase over last 7 days. Current value {val2} mm/s. Still within ISO Zone B (acceptable for long-term operation) but trend requires monitoring.,Normal bearing wear progression or loosening of machine foundation bolts.,Check and re-torque foundation bolts | Inspect ballscrew support bearing | Compare to factory acceptance vibration record,Schedule preventive inspection at next planned maintenance. Document in maintenance log.,P004 | Spindle Bearing Vibration [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P060 | X-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P061 | Y-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P062 | Z-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2,SPN-SR-003 | SPN-MJ-002,4
SPN-WN-001,6,WARNING,CYAN,Log event. No immediate action required. Review at end of shift.,0,SPN,Spindle Drive System,128,tool_wear,Spindle Load — Tool Life 80% Consumed,Tool life counter for tool T{val} in spindle has reached 80% of programmed tool life. Spindle load P002 = {val2}%. Plan tool change before next scheduled run.,Normal tool wear progression within expected life.,Visually inspect tool at next opportunity | Verify tool life setting is calibrated to actual tool | Check surface finish on last produced part,Prepare replacement tool. Schedule tool change at end of current batch.,P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105,SPN-MN-001 | TCS-MD-001,1
SPN-WN-002,6,WARNING,CYAN,Log event. No immediate action required. Review at end of shift.,0,SPN,Spindle Drive System,128,spindle_bearing_fault,Spindle Temperature — Warm-Up Reminder,Machine has been idle >4 hours. Spindle temperature P003 = {val} °C. Run warm-up program SPD-WARMUP-001 before resuming production to avoid thermal shock to bearings.,Standard thermal management — bearing preload changes with temperature.,Check ambient temperature P070 | Verify warm-up program is loaded in CNC memory,Execute spindle warm-up program (15 min). Do not exceed 30% of maximum speed during first 5 minutes.,P003 | Spindle Motor Temperature [°C] | normal: 20–75 | critical: 0–95,SPN-MN-002 | THM-NC-001,1
SPN-WN-003,6,WARNING,CYAN,Log event. No immediate action required. Review at end of shift.,0,SPN,Spindle Drive System,128,tool_wear,Tool Life Counter — Approaching Limit,Tool T{val} has reached {val2}% of programmed tool life. Spindle load trend is stable. Tool change recommended before next production shift.,Normal cumulative tool usage.,Inspect tool surface condition | Confirm replacement tool is available in magazine,Schedule tool change at shift end.,P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105 || P005 | Spindle Torque [Nm] | normal: 0–120 | critical: 0–145,SPN-WN-001 | TCS-NC-001,2
SPN-WN-004,6,WARNING,CYAN,Log event. No immediate action required. Review at end of shift.,0,SPN,Spindle Drive System,128,tool_wear,Spindle Load Variance — Increased Part-to-Part Variation,Spindle load P002 standard deviation across last 20 parts has increased by {val}% vs. baseline. Mean load unchanged. Variability indicates inconsistent cutting condition.,"Workpiece material hardness variation, inconsistent clamping, or intermittent coolant delivery.",Check material certificate for hardness specification | Inspect fixture clamping force with hydraulic gauge | Verify coolant nozzle position,Investigate material batch. Verify fixture setup procedure.,P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105,SPN-MN-001 | CLS-WN-001,1
SPN-NC-001,7,NOTICE,GREEN,Informational. Parameter approaching limit. Review during next maintenance window.,0,SPN,Spindle Drive System,128,process_anomaly,Spindle Speed Program Limit Active,Active NC program has set spindle speed limit to {val} RPM via G50 command. Maximum achievable P001 = {val2} RPM for this operation.,Programmed speed limit for fixture or tool safety.,Confirm speed limit is intentional in NC program | Verify tool/fixture speed rating,No action required unless limit is unintentional.,P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500 || P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105,,2
SPN-NC-002,7,NOTICE,GREEN,Informational. Parameter approaching limit. Review during next maintenance window.,0,SPN,Spindle Drive System,128,process_anomaly,Spindle Warm-Up Complete,Spindle warm-up cycle complete. Motor temperature P003 = {val} °C. Machine ready for production at full speed.,Normal machine readiness notification.,Advisory — no diagnostic required,No action required. Proceed with production.,P003 | Spindle Motor Temperature [°C] | normal: 20–75 | critical: 0–95,SPN-WN-002,1
SPN-AD-001,8,ADVISORY,WHITE,Performance advisory only. No maintenance action required.,0,SPN,Spindle Drive System,128,process_anomaly,Spindle Running at Reduced Speed — Override Active,Spindle running at {val} RPM with feed override P083 at {val2}%. Performance advisory only.,Operator or program-initiated speed reduction.,Advisory — no diagnostic required,No action required.,P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500 || P083 | Feed Override [%] | normal: 0–120 | critical: 0–150,SPN-MD-002,2
SPN-AD-002,8,ADVISORY,WHITE,Performance advisory only. No maintenance action required.,0,SPN,Spindle Drive System,128,process_anomaly,Spindle Idle — No Load Detected,Spindle running at programmed speed but P002 load = {val}%. No cutting engagement detected. Tool may be in air or rapid traversal block.,Normal between-operation spindle state.,Advisory — no diagnostic required,No action required.,P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105,,1
AXS-CR-001,1,CRITICAL,RED,Immediate machine stop. Do not restart without authorised technician inspection.,480,AXS,Axis Servo System,130,actuator_fault,Axis Following Error — Emergency Stop,"Axis following error P016 = {val} mm exceeds emergency stop threshold (2.0 mm). All axes halted. Position integrity cannot be guaranteed. P010={val2}, P011={val3}, P012={val4} mm.","Drive fault, ball screw failure, axis collision, or encoder loss.",Do not move axes until cause identified | Check all servo drive status LEDs | Verify no mechanical obstruction on axis | Inspect ball screw for damage | Check encoder feedback signal integrity,Identify faulted axis. Repair mechanical cause. Re-home all axes before resuming.,P016 | Axis Following Error [mm] | normal: 0–0.05 | critical: 0–2.0 || P010 | X-Axis Position Error [mm] | normal: -0.01–0.01 | critical: -0.5–0.5 || P011 | Y-Axis Position Error [mm] | normal: -0.01–0.01 | critical: -0.5–0.5 || P012 | Z-Axis Position Error [mm] | normal: -0.01–0.01 | critical: -0.5–0.5,AXS-MJ-001 | AXS-MJ-002 | CNC-CR-001,4
AXS-CR-002,1,CRITICAL,RED,Immediate machine stop. Do not restart without authorised technician inspection.,480,AXS,Axis Servo System,130,actuator_fault,Servo Drive Hardware Fault — Axis Disabled,"Servo drive reports hardware fault on axis. Drive has disabled output stage. P013={val}A (X), P014={val2}A (Y), P015={val3}A (Z).","IGBT overcurrent, DC bus undervoltage, or drive internal fault.",Check drive status display for specific sub-code | Measure DC bus voltage P090 | Inspect drive power connections | Check motor phase resistance balance,Replace faulted drive. Verify motor winding integrity before re-enabling.,P013 | X-Axis Servo Current [A] | normal: 0–18 | critical: 0–25 || P014 | Y-Axis Servo Current [A] | normal: 0–18 | critical: 0–25 || P015 | Z-Axis Servo Current [A] | normal: 0–22 | critical: 0–30,ELC-CR-001 | AXS-CR-001 | SPN-CR-002,3
AXS-MJ-001,2,MAJOR,ORANGE,Stop current operation. Machine must be inspected before resuming production.,240,AXS,Axis Servo System,130,actuator_fault,Axis Following Error — Major Limit,Following error P016 = {val} mm exceeds major threshold (0.5 mm). Cutting has been suspended. Position error on {val2}-axis.,"Servo gain mismatch, mechanical friction increase, or ball screw backlash.",Check servo gain parameters vs commissioning record | Inspect axis guide lubrication | Measure backlash on ball screw | Run servo tuning cycle,"Re-tune servo gain. Lubricate linear guides. If backlash >0.02mm, schedule ball screw inspection.",P016 | Axis Following Error [mm] | normal: 0–0.05 | critical: 0–2.0 || P010 | X-Axis Position Error [mm] | normal: -0.01–0.01 | critical: -0.5–0.5 || P011 | Y-Axis Position Error [mm] | normal: -0.01–0.01 | critical: -0.5–0.5 || P012 | Z-Axis Position Error [mm] | normal: -0.01–0.01 | critical: -0.5–0.5,AXS-CR-001 | AXS-SR-001 | LUB-MD-001,4
AXS-MJ-002,2,MAJOR,ORANGE,Stop current operation. Machine must be inspected before resuming production.,240,AXS,Axis Servo System,130,actuator_fault,Servo Drive Thermal Warning — Overtemperature,"Servo drive temperature P017 = {val} °C exceeds 80°C. Drive will fault at 90°C. Current draw: X={val2}A, Y={val3}A, Z={val4}A.","Inadequate cabinet ventilation, blocked drive heatsink, or sustained high-load machining.",Check cabinet fans are operational P071 | Clean drive heatsink fins | Reduce duty cycle temporarily | Check ambient temperature P070,"Restore cabinet ventilation. Clean filters. If recurring, upsize drive cooling.",P013 | X-Axis Servo Current [A] | normal: 0–18 | critical: 0–25 || P014 | Y-Axis Servo Current [A] | normal: 0–18 | critical: 0–25 || P015 | Z-Axis Servo Current [A] | normal: 0–22 | critical: 0–30 || P017 | Servo Drive Temperature [°C] | normal: 20–70 | critical: 0–90,THM-MD-001 | AXS-CR-002 | ELC-MJ-001,4
AXS-SR-001,3,SERIOUS,YELLOW,Complete current cycle then stop. Schedule maintenance within 4 hours.,120,AXS,Axis Servo System,130,chatter_vibration,Axis Vibration — Resonance Detected,Axis vibration on {val}-axis shows resonant frequency at {val2} Hz. Following error P016 = {val3} mm. Pattern consistent with chatter or axis mechanical resonance.,"Feed rate at resonant frequency, worn ball screw nut, or inadequate servo filter.",Measure resonant frequency from vibration log | Check servo filter notch frequency setting | Inspect ball screw nut preload | Change feed rate by ±15% and observe effect,Apply servo notch filter at resonant frequency. Inspect ball screw nut.,P060 | X-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P061 | Y-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P062 | Z-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P016 | Axis Following Error [mm] | normal: 0–0.05 | critical: 0–2.0,SPN-MJ-004 | AXS-MJ-001 | VIB-WN-060,4
AXS-SR-002,3,SERIOUS,YELLOW,Complete current cycle then stop. Schedule maintenance within 4 hours.,120,AXS,Axis Servo System,130,actuator_fault,Servo Current — Elevated Load on Axis,"Servo current on {val}-axis P0{val2} = {val3} A, elevated {val4}% above baseline for equivalent move. Ball screw or guide resistance increasing.","Insufficient lubrication on linear guides or ball screw, guide wear, or contamination ingress.",Manually jog axis and feel for stiction | Inspect linear guide surface for scoring | Check lubrication oil delivery to guides P040 | Review lubrication interval log,"Apply lubrication per maintenance schedule. If stiction persists, inspect guide rail and carriage.",P013 | X-Axis Servo Current [A] | normal: 0–18 | critical: 0–25 || P014 | Y-Axis Servo Current [A] | normal: 0–18 | critical: 0–25 || P015 | Z-Axis Servo Current [A] | normal: 0–22 | critical: 0–30,LUB-MD-001 | AXS-MJ-001 | AXS-MN-001,3
AXS-MD-001,4,MODERATE,AMBER,Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,60,AXS,Axis Servo System,130,actuator_fault,Following Error — Elevated But Within Limit,Following error P016 = {val} mm is elevated above advisory threshold (0.02 mm) but below halt limit. Trend over last 100 moves: increasing.,Servo loop gain reduction or mechanical friction increase.,Run test cycle and log P016 per block | Compare to commissioning baseline | Check guide lubrication,Log and monitor. Schedule servo re-tuning if trend continues.,P016 | Axis Following Error [mm] | normal: 0–0.05 | critical: 0–2.0,AXS-MJ-001 | AXS-SR-002,1
AXS-MD-002,4,MODERATE,AMBER,Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,60,AXS,Axis Servo System,130,actuator_fault,Servo Drive Temperature — Elevated,Drive temperature P017 = {val} °C. Within spec but {val2} °C above seasonal baseline. Monitor for progression.,Marginal cabinet cooling or increased cutting load.,Check cabinet fan speed | Verify door seals are intact,Clean cabinet filters. Monitor.,P017 | Servo Drive Temperature [°C] | normal: 20–70 | critical: 0–90,AXS-MJ-002 | THM-WN-070,1
AXS-MN-001,5,MINOR,BLUE,Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,30,AXS,Axis Servo System,130,actuator_fault,Servo Current — Minor Variance,Servo current on {val}-axis shows {val2}% variance vs. baseline on identical move profile. No limit exceeded.,Normal mechanical variation or minor lubrication change.,Monitor for 24 hours | Review lubrication log,Log and monitor.,P013 | X-Axis Servo Current [A] | normal: 0–18 | critical: 0–25 || P014 | Y-Axis Servo Current [A] | normal: 0–18 | critical: 0–25 || P015 | Z-Axis Servo Current [A] | normal: 0–22 | critical: 0–30,AXS-SR-002,3
AXS-MN-002,5,MINOR,BLUE,Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,30,AXS,Axis Servo System,130,chatter_vibration,Axis Vibration — Minor Threshold,Axis vibration RMS on {val}-axis = {val2} mm/s. Above minor threshold (3.5 mm/s) but below major (7.1 mm/s).,Tool wear induced vibration or minor chatter.,Inspect tool condition | Try ±10% spindle speed,Monitor and log. Inspect tool at next change.,P060 | X-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P061 | Y-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P062 | Z-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2,SPN-MJ-004 | AXS-SR-001,3
AXS-WN-001,6,WARNING,CYAN,Log event. No immediate action required. Review at end of shift.,0,AXS,Axis Servo System,130,process_anomaly,Following Error — Intermittent Spikes,Following error P016 shows intermittent spikes to {val} mm during direction reversals. Mean error within spec.,Ball screw backlash or servo reversal compensation mismatch.,Check backlash compensation parameter | Measure physical backlash with dial indicator,"Adjust backlash compensation parameter. If physical backlash >0.015mm, plan ball screw nut replacement.",P016 | Axis Following Error [mm] | normal: 0–0.05 | critical: 0–2.0,AXS-MD-001 | AXS-MJ-001,1
